date,channel,hour,text,category
13/08/2023,novinach,23,У Запоріжжі пролунав вибух — пише Суспільне,Political
13/08/2023,novinach,23,В Одесі лунають вибухи. Ракетна небезпека в областях з тривогою,Shelling
13/08/2023,novinach,23,Група ракет рухається в напрямку Одеси — Повітряні Сили,Shelling
13/08/2023,novinach,22,В Одесі знову лунають вибухи. Тримайтесь,Political
13/08/2023,novinach,22,"В Одесі чутно звуки вибухів. В напрямку міста прямують ""шахеди"". Залишайтеся в укриттях",Shelling
13/08/2023,novinach,20,"Головне станом на зараз:

• В ході контрнаступу українські військові деколи зустрічають по 5 ворожих мін на квадратний метр — [Резніков](https://www.radiosvoboda.org/amp/news-reznikov-minuvannya-rosiya-rozminuvannya-zsu/32546226.html);

• Латвія [підтримала](http://www.rbc.ua/rus/news/latviya-priednalasya-deklaratsiyi-g7-pro-1691939272.html?utm_source=telegram&utm_medium=post) гарантії безпеки для України;

• Суд [продовжив](https://suspilne.media/549963-sud-prodovziv-strok-dii-obovazkiv-dla-mitropolita-upc-pavla/) строк дії обовʼязків для паши мерседеса;

• За попередньою версією, будинок у Бєлгороді отримав пошкодження внаслідок атаки БПЛА;

• InformNapalm [заявляє,](https://t.me/informnapalm/18468) що росіяни збрехали про успішний огляд судна ""Sukru Okan"" у Чорному морі",Political
13/08/2023,novinach,19,Зеленський про останні події,Political
13/08/2023,novinach,18,"Інформація про затримання росіянами судна, що прямувало в порт ""Ізмаїл"" — не підтверджена, заявила речниця Сил оборони півдня Наталія Гуменюк.

За її словами, жодних інших свідків, окрім міноборони рф, немає. Ця заява може бути частиною інформаційної війни",Shelling
13/08/2023,novinach,17,"Шмигаль [повідомив](https://www.facebook.com/dshmyhal/posts/pfbid0Q1rkk5meFVTipfaYWmekExxsUhEorvbchZgaawzMZHAANnSFQrRsc6YLKQk1sg3ol) результати підготовки до зими, яку, можливо, захочуть зіпсувати росіяни:

• відремонтовано 5 атомних блоків, ще 4 у ремонті;
• відремонтовано 62% енергоблоків ТЕС від запланованих;
• відремонтовано 70% ТЕЦ;
• відремонтовано та перебувають в ремонті 32 агрегати ГЕС;
• «Укренерго» на майже 80% відремонтувало магістральні мережі;
• Високовольтні підстанції вже відновлені до рівня довоєнного стану",Humanitarian
13/08/2023,novinach,16,"Переказали мамі Максима 330 000 грн — це гроші з банки, на яку скидали гроші ви та підписники інших пабліків [(Мемарня,](https://t.me/privatnamemarnya) [Хріновини,](https://t.me/hrinovyny) [Віорія](https://t.me/violettavviola) тощо)

Ми безмежно вдячні вам за чергову консолідацію. Вічна пам'ять, пане Очільнику🔹

[Фото: maksalatus/Instagram](https://www.instagram.com/maksalatus)",Economical
