date,channel,hour,text,category
19/07/2023,novinach,21,"Головне станом на зараз:

• Знищені в одеському терміналі 60 тисяч тонн зерна призначались для Китаю, [заявив](https://t.me/V_Zelenskiy_official/7049) Зеленський;

• путін ~~розкатав губу~~ назвав умови продовження зернової угоди, серед яких зняття санкцій на російську агропромисловість, розблокування аміакопроводу ""Тольятті-Одеса"" та SWIFT для певних банків;

• Товариство Червоного Хреста України категорично [засудило](https://redcross.org.ua/news/2023/07/51934/) дії білоруського ЧХ на тимчасово окупованих територіях;

• Не виключено, що Польща може [передати](https://www.ukrinform.ua/rubric-world/3737895-vasil-zvaric-nadzvicajnij-i-povnovaznij-posol-ukraini-v-polsi.html) решту (близько 20) своїх МіГ-29 Україні — український посол;

• Ірландія [виділить](https://www.ukrinform.ua/rubric-polytics/3737831-irlandia-vidilae-se-5-miljoniv-na-gumanitarnu-dopomogu-ukraini.html) €5 млн гуманітарної допомоги для України",Political
19/07/2023,novinach,20,"З Труханова [зняли](https://t.me/sap_gov_ua/1514) елекроний браслет, адже суд не встиг розглянути клопотання САП про повторне накладення процесуальних обовʼязків на мера Одеси.

САП планує знову звернутися до суду.

У травні в рамках справи ""Краяну"" суд застосував до Труханова запобіжний захід у вигляді тримання під вартою, але за нього внесли заставу",Political
19/07/2023,novinach,17,"[ЗМІ:](https://poltava.to/news/72239/) екс-очільник СБУ Іван Баканов отримав свідоцтво адвоката від Ради адвокатів Полтавської області.

На сайті недержавної Національної асоціації адвокатів України написано, що Баканов Іван Геннадійович (фото немає) став адвокатом 27 червня цього року.

Нагадаємо, що рік тому Баканова усунули з посади голови СБУ відповідно до статті ""Невиконання службових обов'язків, що призвело до людських жертв чи інших тяжких наслідків""",Political
19/07/2023,novinach,17,"Боксер Олександр Усик [підписав](https://polissyafc.com/news/oficijno-oleksandr-usik-pidpisav-futbolnij-kontrakt-z-fk-polissa) контракт з житомирським футбольним клубом ""Полісся""",Economical
19/07/2023,novinach,16,"США [оголосили](https://www.defense.gov/News/Releases/Release/Article/3463890/biden-administration-announces-additional-security-assistance-for-ukraine/) про новий пакет військової допомоги Україні на $1,3 мільярда.

До нього зокрема увійдуть 4 комплекси NASAMS з боєприпасами, артилерійські снаряди, БпЛА та ПТКР TOW",Economical
19/07/2023,novinach,15,"російске міноборони заявило, що усі судна, які прямують в українські порти, розглядатимуться ними як потенційні перевізники військових вантажів.

Країни прапора таких суден вважатимуться залученими у війну на боці України, каже русня",Humanitarian
19/07/2023,novinach,14,"Попередні домовленості по гарантіях безпеки пікчера досягнуті. На заставу скидайте у збори Мемарні.

https://t.me/privatnamemarnya/61873",Political
19/07/2023,novinach,13,"У порту Чорноморська російськими ракетами були знищені 60 тисяч тонн зерна.

Про це [заявив](https://minagro.gov.ua/news/mikola-solskij-pro-obstril-rosiyanami-morskih-portiv-lyudstvo-opinilosya-v-zaruchnikah-u-krayini-terorista-yaka-shantazhuye-ves-svit-golodom) міністр аграрної політики Сольський",Shelling
19/07/2023,novinach,13,"Головне станом на зараз:

• Білоруський ""Червоний Хрест"" [визнав](https://hromadske.ua/posts/glava-chervonogo-hresta-bilorusi-viznav-uchast-u-vivezenni-ditej-iz-ukrayini-na-ozdorovlennya), що організація причетна до вивезення дітей із України ""на оздоровлення"";

• В Україну [прибув](https://t.me/V_Zelenskiy_official/7046) прем'єр-міністр Ірландії Лео Варадкар; 

• Зеленський [заявив](https://interfax.com.ua/news/general/923784.html), що для захисту Одеси з повітря потрібні додаткові системи ППО SAMP/T або Patriot; 

• Ірландія [розслідує](https://www.ukrinform.ua/rubric-ato/3737822-irlandia-rozslidue-ak-detali-ii-kompanii-opinilisa-v-rosijskomu-dronikamikadze.html), яким чином деталі ірландського виробництва опинилися в російському дроні;

• У Польщі [викрили](https://www.gazetapolska.pl/30717-mieli-wysadzac-pociagi-w-polsce-kulisy-zatrzymania-rosyjskich-szpiegow-moskwa-placila-w-bitcoinach) мережу російських агентів, що планувала підірвати потяги зі зброєю та гуманітарною допомогою для України",Political
19/07/2023,novinach,12,"Хорватія запропонувала власні порти та залізничну мережу, щоб [допомогти](https://press.un.org/en/2023/ga12516.doc.htm) Україні з експортом зерна. 

Пікчера тимчасово відсторонено, мем зробили і без нього",Political
19/07/2023,novinach,11,"Так сталося, що ми випадково видалили усі коментарі в Новиначі, за весь час. Як це трапилося?

Якщо коротко, то через власну рукожопість. Коли видаляєш коментар бота, то Телеграм пропонує видалити усі його повідомлення за увесь час.

Намагаючись видалити чергового бота в чаті з коментарями, пікчер випадково обрав повідомлення від каналу і швидко натиснув видалити усі.

Тому у чаті зникли усі дописи Новинача, а якщо допису немає у чаті, то на каналі під ним зникають коментарі.

Ще подумаємо, що зробити з пікчером. А поки почнемо спочатку",Political
19/07/2023,novinach,11,"Іспанія [відправить](https://suspilne.media/531917-pribudut-nastupnogo-tizna-ispania-morem-vidpravila-v-ukrainu-partiu-tankiv-leopard-2/) морем в Україну ще чотири танки Leopard 2А4, десять відремонтованих бронетранспортерів, вантажівки, боєприпаси тощо",Shelling
19/07/2023,novinach,11,"путін не поїде на саміт БРІКС до Південної Африки, замість нього буде лавров — [повідомили](https://www.thepresidency.gov.za/press-statements/south-africa-finalises-15th-brics-summit-format) у канцелярії ПАР",Political
19/07/2023,novinach,10,"МОК [позбавив](https://suspilne.media/531757-mok-pozbaviv-london-olimpijskih-kvalifikacijnih-turniriv-u-novih-vidah-sportu-cerez-vimogi-do-rosian-ta-bilorusiv/) Велику Британію права на проведення кваліфікаційних турнірів на Олімпіаду-2024 через ""дискримінацію"" щодо російських та білоруських атлетів",Humanitarian
19/07/2023,novinach,9,На військовому полігоні в Криму продовжують лунати вибухи,Political
19/07/2023,novinach,9,"Мережею ширяться фотографії тризуба, яким планують замінити герб СРСР на монументі ""Батьківщина-Мати""",Political
19/07/2023,novinach,8,"Вирва, що утворилася внаслідок нічних ударів по Одещині",Political
19/07/2023,novinach,6,"Що в Одесі. Вночі росіяни [здійснили](https://t.me/odesacityofficial/19391) одну з наймасштабніших атак по Одесі за час повномасштабної війни:

• Ворожі кораблі випустили по місту 12 ""Калібрів"" — усі збили;

• Стратегічна і тактична авіація завдала удару ракетами Х-59 та Х-22, одна збита ракета Х-59 впала у житловому кварталі. Пошкоджено кілька будівель, троє цивільних травмовано;

• Ракетами ""Онікс"" та Х-22 ворог влучив у зерновий і олійний термінали, пошкодивши резервуари та обладнання;

• В Одеському районі є влучання в промисловий об'єкт, два складських приміщення в різних локаціях – із тютюном і фейєрверками. Там пожежа на 3000 м², є поранений;

• Також в небі було збито 8 дронів ""Shahed-136"", внаслідок падіння уламків пошкоджено об'єкти в прибережній зоні Коблівської громади, постраждало двоє цивільних;

• Крім того, внаслідок бойової роботи із знищення ракет та дронів вибуховою хвилею пошкоджено кілька багатоквартирних будинків, щонайменше 6 одеситів поранено",Shelling
19/07/2023,novinach,5,"Вночі росія випустила по Україні 16 ""Калібрів"", 8 крилатих ракет Х-22, 6 крилатих ракет ""Онікс"" та 32 ударних БпЛА ""Shahed-136/131"".  Основний напрямок удару — Одещина. 

Сили ППО України [знищили](https://t.me/kpszsu/3411) 37 повітряних цілей",Shelling
19/07/2023,novinach,5,"Вєчного артвистрєла, братья",Humanitarian
19/07/2023,novinach,5,"Вночі росіяни атакували Житомирщину ""шахедами"" — постраждав інфраструктурний об'єкт та приватні домогосподарства, [повідомив](https://t.me/zhytomyrskaODA/4547) керівник ОВА. 

Також дрони запускали по Києву, сили ППО знищили усі БпЛА на підступах до столиці",Shelling
19/07/2023,novinach,4,"У тимчасово окупованому Криму горить та детонує склад боєприпасів у місті Старий Крим. 

Так звана ""влада"" планує евакуацію людей з 4 населених пунктів",Shelling
18/07/2023,novinach,23,Відбій ракетної небезпеки на півдні — Повітряні Сили,Political
18/07/2023,novinach,23,Київщина — повітряна тривога. Загроза ударних БпЛА,Political
18/07/2023,novinach,23,Зафіксовано четвертий пуск ракет Х-22 у напрямку Одещини. В самій Одесі продовжують лунати вибухи,Shelling
18/07/2023,novinach,23,"Вибухи пролунали у Запоріжжі, також повторні вибухи в Одесі",Political
18/07/2023,novinach,23,Повторні пуски ракет Х-22 з південного напрямку — Повітряні Сили,Shelling
18/07/2023,novinach,23,В Одесі лунають потужні вибухи. Тримайтеся,Political
18/07/2023,novinach,22,"Повторні пуски крилатих ракет ""Калібр"" з Чорного моря",Shelling
18/07/2023,novinach,22,У росії [злетіли](https://t.me/kpszsu/3392) 8 літаків Ту-22м3 — Повітряні Сили,Political
18/07/2023,novinach,22,Повторні вибухи в Одесі. ОВА закликає не наближатися до вікон та не фільмувати роботу ППО,Shelling
18/07/2023,novinach,22,В Одесі пролунали вибухи,Political
18/07/2023,novinach,22,"росія запустила ""Калібри"" з акваторії Чорного моря",Humanitarian
18/07/2023,novinach,20,"Головне станом на зараз:

• Зеленський [підписав](https://itd.rada.gov.ua/billInfo/Bills/Card/41122) закон, який дозволяє військовослужбовцям без вищої освіти отримувати офіцерські звання;  

• Міністр оборони Великої Британії [заявив](https://www.pravda.com.ua/news/2023/07/18/7411900/), що росія ""більш крихка"" ніж росіяни визнають. Розкол в  армії цілком реальний, а рівень втрат жахливий""; 

• США [надасть](https://www.reuters.com/world/europe/usaid-chief-visits-odesa-unveils-250m-ukrainian-farmers-2023-07-18/) Україні $250 млн на підтримку сільського господарства; 

• Президент [підписав](https://itd.rada.gov.ua/billInfo/Bills/Card/40428) закон щодо звільнення військових, у яких близькі родичі загинули на війні, чи пропали безвісти; 

• У Римі [зафіксували](https://www.reuters.com/world/europe/europe-sees-another-year-droughts-wildfires-2023-07-18/) новий температурний рекорд — +41,8°С",Humanitarian
18/07/2023,novinach,20,"росія запустила ""шахеди"" в напрямку України, ближче до півночі [очікується](https://t.me/kpszsu/3384) повітряна тривога у південних областях — Командування Повітряних Сил",Shelling
18/07/2023,novinach,18,"У лікарні померла 26-річна дівчина, яка постраждала від російського теракту в Умані. 

За 80 днів вона [перенесла](https://t.me/cherkaskaODA/5414) п’ять операцій. Кількість жертв російської атаки зросла до 24",Political
