MarketOverview,"**banking news**

цб выписал 2 штрафа **совкомбанку **за неисправление кредитной истории (ст. 15.26.3 коап) 
размер одного штрафа - от 30 тыс. руб до 50 тыс. руб.
цб оштрафовал на 250 тыс. руб круадлендинговую платформу **джетленд** за невыполнение в установленный срок предписание регулятора (ч. 9 ст. 19.5 коап). странно, но по коапу предусмотрены другие размеры штрафов на юр. лиц - от 500 тыс. руб до 700 тыс. руб.
цб вынес предупреждение **ик статус финанс **за воспрепятствование проведению проверок или неисполнение предписаний регулятора (ч. 9 ст. 15.29 коап), и снова по кодексу должен быть штраф от 700 тыс. руб до 1 млн руб.
bloomberg узнал, что на следующей неделе украинский **sense bank** (прежнее название - **альфа-банк украина**) будет национализирован. конечными владельцами sense bank являются михаил фридман, петр авен и [андрей косогов]( в стране был принят специальный закон, позволяющий национализировать банки, которые находятся в собственности подсанкционных лиц.

**сбербанк** приостановил приём заявок на сельскую ипотеку из-за высокого спроса - исчерпался лимит. пресс-служба сбера пообещала возобновить приём заявок после получения дополнительного лимита.
первый зампред цб ольга скоробогатова призвала **сбербанк** отменить комиссии на переводы: __""мы очень ждем на финополисе мудрейшее решение сбербанка — отменить комиссии за переводы из сбербанка. я уверяю, лояльность клиентов от этого повысится""__. первый зампред сбера кирилл царев сообщил, что комиссии есть у всех и они готовы рассмотреть отмену, если рынок также их отменит.

**втб** продал 45% зерновой компании деметра-холдинг, который [объединял]( все зерновый активы банка: ртк, русагротранс, транкслес, мирогрупп ресурсы, новороссийский зерновой терминал, нкхп, зерновой терминальный комплекс тамань, it-платформа smartseeds, объединенная зерновая компания. глава втб андрей костин: __""на днях сделку закрыли. не могу сказать, кто покупатель,— это его право заявлять о себе. цена объективная, маржа приличная""__.

",2023-07-10,Economical
MarketOverview,":keycap_4:** банк ренессанс-кредит с 13 июля вдвое увеличивает комиссию на переводы в долларах и евро**

валютные переводы в ренике можно делать только банки грузии и армении, за исключением меллат банка (армения) и втб (армения): 
**• 2% min $/€100 max $/€500** - __было 1% min $/€50 max $/€250__

преимущество банка было в наличие собственного брокера и возможности покупать валюту по курсу биржи, но похоже пришло время зарабатывать на новых клиентах.

обновил пост, в котором можно найти актуальную комиссию в большинстве банков:
• [входящие swift-переводы
](• [исходящие swift-переводы
](проверить swift-переводы [ohmyswift.ru](
чат 

[тарифы]( (pdf)| ",2023-07-10,Economical
MarketOverview,"**москоммерцбанк с 1 августа прекращает выпуск и обслуживание карт**

с августа москоммерцбанк перестает выпускать новые карты и обслуживать действующие карты клиентов, при этом банк обещает выполнять все обязательства перед клиентами: обслуживание счетов, проведение операций без карт, сохранность денег, поддержка интернет-банка и мобильного приложения[.]( таким образом, счетами можно будет пользоваться, просто не будет карты.

напомню, москоммерцбанк остается одним из [немногих банков]( в которых еще можно без проблем открыть счета в usd и eur и принимать валюту из заграницы: банк-корреспондент jsc halyk bank, almaty, kz. поэтому рекомендую срочно в июле решить вопрос с открытием счета, как минимум [""про запас""](
• открытие счета - без комиссии;
• зачисление usd и eur - без комиссии;
• исходящие переводы usd и eur - 1% min $/€100 max $/€200;
• льготные комиссии на переводы в банки группы халык.

в конце прошлого года халык банк (казахстан) [продал]( российский москоммерцбанк неизвестнм инвесторам. до сих пор новый собственник москоммерцбанка не объявлен. однако несколько косвенных факторов [указывает]( на связь с банком синара. вероятно москоммерцбанк будет оформлять карты уже нового собственники. другим сценарием развития может стать специализация на рко юр. лиц. 

[релиз]( | [тарифы]( (pdf)| ",2023-07-10,Economical
MarketOverview,"**ситибанк закрывает** **единственный офис в ростове-на-дону**

8 сентября 2023 будет закрыт весь филиал ""донской"": перестанут работать отделение и банкоматы. у клиентов регионального филиала поменяются реквизиты, так как все остатки будут переведены в центральный офис в москву. решение связано с объявленным в августе 2022 [сворачивании]( бизнеса. сити обещает выполнить все обязательства перед клиентами региона.
ранее банк заявил о планах закрыть филиал в башкирии - дата [11 августа 2023]( в россии остаются представительства ситибанка в 6 регионах: 4 офиса в москве , 3 - в санкт-петербурге (14 июля [закрывается]( отделение «московский проспект») и по одному в волгограде, екатеринбурге, нижнем новгороде и самаре.

я уже получил уведомление о том, что сити закрывает мне одну из двух кредитных карт и даёт время до 1 декабря на  расторжение договора или переезд в банк уралсиб ([условия]( вчера обнаружил в почтовом ящике письмо-уведомление о закрытии моего текущего счета, здесь всё просто: __""в соответствии со ст. 859 гк рф в связи с отстуствием в течение двух лет операций и остатков по счету""__. действительно, в любом банке в тарифах есть отдельная строка, которая регламентирует возможность банка закрывать такие счета + банки любят вводить комиссии за обслуживание неактивных счетов, чтобы вывести в ноль остаток для дальнейшего закрытия.

[релиз]( | ",2023-07-10,Political
MarketOverview," в работе мобильного приложения и интернет-банка райффайзенбанка произошел масштабный сбой: пользователи не могут авторизоваться в личном кабинете. войти в приложение райф инвестиции тоже невозможно



upd: в 14:00 приложение восстановили, хотя при входе появляется уведомление о возможной нестабильной работе.",2023-07-10,Political
MarketOverview,"смелые решения, определившие архитектурное развитие мегаполисов, ценятся коллекционерами недвижимости не меньше, чем исторические особняки. самая крупная сделка с жилой недвижимостью в сша - квартира в небоскребе. в 2019 году пентхаус в 220 central park south в элитном верхнем ист-сайде купили за $238 млн.

не за горами время, когда собиратели эксклюзивного жилья начнут охотиться за квартирами в “событии. 4”. этот визионерский и дерзкий проект от донстрой - первый в россии и ультрасовременный даже по мировым меркам небоскреб со sky-мостами. через пару десятилетий, когда приложение по вызову летающего такси будет в телефоне каждого москвича, жители четвертого квартала “события” скажут: “у нас все было готово еще в 20-х: парящие у облаков променады и скоростные лифты”. пока будущее наступило только в одном небоскребе, его резиденты смогут расслабиться в лаундже sky-парка в окружении зелени на высоте 170 метров и любоваться сменой сезонов на воробьевых горах, в парке победы и кампусе мгу. во всем мире за подобными впечатлениями едут в marina bay sands в сингапуре. ",2023-07-10,Political
MarketOverview," сегодня в 12:00 завершился аукцион: **банк траст продал 90,01% акций банка точка группе инвесторов**, среди которых интеррос владимира потанина (росбанк, тинькофф) и ряд других инвесторов, которые не раскрываются.

9,9% принадлежало catalytic people limited (кипр), которую основатели банка борис дьяконов и эдуард пантелеев [продали]( invest finance llc, принадлежащей совладельцам авиакомпании s7 владиславу филеву и его дочери татьяне. владельцы миноритарного пакета обладали преимущественным правом на выкуп остального пакета, что отталкивало некоторых потенциальных покупателей. в итоге филевы воспользовались преимущественным правом, предварительно собрав вокруг себя группу инвесторов.

в апреле траст [выставил]( акции банка на торги, тогда начальная цена аукциона была 22,7 млрд руб, позже она повысилась до 24,7 млрд руб. в итоге сумма сделки составила 41,5 млрд руб (+82% к первоначальной цене). на аукцион заявилось 7 участников: catalytic people limited, [тинькофф банк]( [альфа-банк]( уралсиб, остальные - неизвестны. позже заявился [росбанк]( но непонятно как отдельный участник или в составе группы инвесторов. также непонятно, почему интеррос заявился дважды через росбанк и тинькофф. по данным рбк в аукционе участвовало только два потенциальных инвестора, похоже против него и объединилась группа инвесторов: альфа, уралсиб, кто-то еще?

интересно, что в релизе точка пишет:
• __в консорциуме отсутствует мажоритарный инвестор__ - это немного облегчает на случай, если акционер находился под санкциями, однако главное не превышать долю в 50% подсанкционных лиц;
__• в будущем точка планирует усилить состав акционеров__;
• __интерес к участию в консорциуме проявила компания vk__ - возможно это и есть будущий международный инвестор.
сделка окончательно закроется в 3 квартале, надеюсь, тогда уже будет понятно, кто новый владелец точки.

[релиз]( | [рбк]( | ",2023-07-10,Economical
MarketOverview,"сбер ведет [переговоры]( с крупными банками о подключении к сервису «плати qr». 

«плати qr», по сути, является альтернативой сбп. сегодня к сервису уже подключились три крупных банка — альфа, тинькофф и совкомбанк. с остальными пока идет переговорный процесс. 

впрочем, в статье прогнозируют положительный исход переговоров. например, вскоре к сервису могут присоединиться «зенит», «открытие» и «почта банк».",2023-07-10,Economical
MarketOverview,"**куда зарубежные банки потратили «российскую» валюту? 

**за последние полтора года россияне вывели из страны максимальный за всю историю наблюдений объем средств. только на депозитах в банках-нерезидентах граждане хранили около 5,8 трлн рублей. значительный объем этих денег ушел в страны закавказья и центральной азии. однако, поступившие в эти страны рекордные объемы средств не привели к буму кредитования населения и бизнеса ни в одной из стран притяжения релокантов и карточных туристов. 

на счетах и вкладах в **казахстане** нерезиденты хранят 17,4 трлн тенге ($38,8 млрд). их доля в общем объеме банков невелика — всего 9%, но полтора года назад было 1,5%. объем входящих из россии средств вырос до 360 млрд тенге. 
за 2022 год совокупный кредитный портфель казахстанских банков вырос на 20% — до 24,6 трлн (+20%). при этом в 2021 году банки увеличили ссудный портфель на 28%. а вот средства на корсчетах выросли в два раза — до 1,55 трлн тенге, в ценных бумагах — в 1,3 раза, до 11,4 трлн тенге

по данным национального банка **киргизии**, в 2023 году нерезиденты держат 54,23 млрд сомов (более $633 млн). рост кредитования экономики в 2022 году держался на среднем уровне последних лет. поступающая от нерезидентов валюта оседала на зарубежных депозитах и корреспондентских счетах коммерческих банков. 

в **узбекистане** более 60 000 россиян открыли счета и вклады в банках, принеся около $892 млн. это в девять с половиной раз больше, чем было «до». денежные переводы в узбекистан выросли в 2,1 раза — до $16,9 млрд. кредитный портфель банков вырос на 19,5%, а в 2021 на 17,8%. высоколиквидные активы коммерческих банков страны за год приросли на 37%, до 104,47 трлн сум, а коэффициент покрытия ликвидности достиг рекордных 211,6%.

объем средств нерезидентов в банках **армении** вырос на 60% — 1,4 трлн драмов ($3,6 млрд).  в январе — апреле 2023 года средства нерезидентов сократились на 8% к началу года. 
кредитный портфель армянских банков подрос на 6%, до 4,2 трлн драм. соотношение ликвидных активов коммерческих банков к обязательствам до востребования на конец 2022 составил 102,5%

в **грузию** в 2022 году россияне перевезли 2,4 млрд лари (около $1 млрд). за год общий объем средств вырос на 327%. переводы из россии в прошлом году били рекорды, в отдельные месяцы превышая $300 млн. а темпы роста кредитования в 2022 даже снизились — до 3,2% с 13% в 2021. 

коммерческие банки стран центральной азии и закавказья понимают, что часть денег к ним пришла ненадолго, поэтому использовать эти средства для долгосрочного фондирования действительно нецелесообразно. статистика денежных переводов за 2023 год подтверждает опасения банкиров. объем трансфертов в 2023 уже стремительно падает.

[forbes]( | ",2023-07-10,Economical
MarketOverview,"**уникальные возможности **[**алор openapi](

скорость получения биржевой информации является одним из главных компонентов реализации торговой стратегии и анализа рыночных данных. сегодня почти у каждого уважающего себя брокера есть открытый api и, возможно, вы уже пользуетесь этой услугой, но отдельно хотелось бы остановиться на [openapi от алор брокер]( - собственный сверхбыстрый сервис достойный нашего внимания!

алор еще в далеком 1999 году был пионером в разработке торговых интернет-систем и первым сделал и получил аккредитацию на ммвб своего торгового терминала алор трейд. свой терминал алор брокер в течение всего времени развивал в первую очередь, как терминал для активного трейдинга, его библиотека расширений позволила многим работающим на фондовом рынке не только попробовать себя в качестве разработчика, но и  стать профессионалами алготрейдинга. и вот новая веха в разработке этого брокера, это алор openapi - сервис для ведения торгов и получения биржевой информации на всех рынках московской и спб биржи. с помощью своего api алор брокер - единственный, кто смог интегрироваться с терминалом tradingview и предоставить своим клиентам доступ к нему.

основные характеристики у этого «зверя» [алор openapi:](
• рыночные данные в реальном времени - этим, конечно, мало кого удивишь;
• сверхбыстрая работа - 98% сделок купли-продажи проходит за:
- 23 мс на московской бирже;
- 7 мс на спб-бирже
• любой язык программирования - универсальные протоколы rest api для ведения торгов и websocket для получения рыночных данных;
• доступные типы данных: __все сделки__, __все заявки__, __информация по инструментам__, __котировки__,__ биржевые стаканы__, __исторические данные__, __позиции__, __информация о клиенте
__• поддерживаемые виды заявок: __рыночные__, __лимитные__, __стоп-лосс__, __тейк-профит__, __стоп-лосс лимит__, __тейк-профит лимит

__для тех, кто не довольствуется обычным и всегда ищет для себя новое и интересное, кому важны не «шашечки, а ехать», рекомендую попробовать алор openapi. по поводу «ехать» добавлю, что у этого брокера три независимых торговых системы, у клиентов всегда есть возможность резервного канала для совершения операций, что очень важно при активном трейдинге.

получить консультацию можно по телефону, [telegram]( whatsapp +79276673337
открыть счёт и попробовать можно [по ссылке](",2023-07-10,Humanitarian
