экономика,большинство страна евросоюз согласовать заморозка средство венгрия фонд сбалансированный развитие ес размер млрд изначально ес планировать заморозить млрд изз опасение,2022-12-13,Economical,positive
новости,единый схема прогулочный маршрут москверек подготовить российский столица конец май причал оснастить единый навигация запустить сайт продажа билет,2022-05-04,Economical,positive
новости,облигация боржоми терять мосбиржа новость приостановка производство,2022-04-29,Economical,negative
новости,ес вводить персональный санкция отношение человек организация включая представитель руководство депутат днр лнр заявить еврокомиссия,2022-04-08,Economical,neutral
новости,полный запрет нефть россия привести взлёт цена небо заявить глава минфин сша,2022-04-06,Economical,neutral
новости,мишустин молодой предприниматель открытие дело смочь грант тыс рубль бизнес вестись арктический зона млн,2022-03-24,Economical,positive
новости,один крупный мир судоходный компания maersk предупредить клиент прекращение деятельность продажа актив россия вывоз ранее ввезти контейнер россия планироваться конец,2022-03-22,Economical,positive
новости,обсуждаться повышение ставка льготный ипотека заявить глава думский комитет финрынок аксаков,2022-03-16,Economical,positive
новости,решение кабмин рф экспорт зерновые сахар июнь запретить экспорт зерновые страна еаэс август запретить вывоз белый сахар тростниковый сахарасырца третий,2022-03-14,Economical,positive
новости,moodys понизить рейтинг российский финансовый институт число сбербанк газпромбанк тинькофф банк прогноз негативный,2022-03-10,Economical,negative
новости,финляндия бензин дорожать глаз неделя цена евро литр,2022-03-09,Economical,neutral
новости,магазин пятёрочка перекрёсток карусель вслед ашан ограничивать больший объём закупка некоторый товар сообщить новость управлять,2022-03-05,Economical,positive
новости,илона маск фон активный обсуждение сша вопрос запрет закупка российский нефть призвать немедленно нарастить добыча нефть газ несмотря негативно отразиться,2022-03-05,Economical,positive
новости,токай поручить подготовить пакет мера поддержка предприятие население изз влияние казахстан антироссийский санкция власть пополнение бюджет втрое увеличить ставка налог,2022-03-03,Economical,positive
новости,мид британия намерить ввести санкция сбербанк,2022-02-28,Economical,negative
новости,российский турист фон западный санкция перестать бронировать тур туроператор возлагать надежда развитие туризм сторона ближний восток юговосточный азия рассказать новость,2022-02-28,Economical,positive
новости,медведев случай арест деньга россиянин российский компания рубеж не исключить национализация имущество лицо иметь регистрация недружественный юрисдикция тип сша страна,2022-02-26,Economical,positive
новости,moodys заявить поместить рейтинг россия украина пересмотр возможность понижение,2022-02-25,Economical,neutral
новости,американский delta приостанавливать сотрудничество российский аэрофлот писать politico,2022-02-25,Economical,neutral
новости,глава мид германия северный поток заморозить,2022-02-22,Economical,neutral
украина новости война,администрация байден ввести ограничение продажа высокотехнологичный компьютерный чип китай россия the new york times сообщать ограничение касаться высокотехнологичный модель чип,2022-09-01,Economical,neutral
украина новости война,ес готовить юридический база передача заморозить российский актив украина восстановление война заявить глава еврокомиссия урсула фон дер ляйена речь идти,2022-07-06,Economical,positive
украина новости война,ес прекратить импорт российский уголь лето конец отказаться российский нефть канцлер германия олафа шольц интервью газета индиана экспресс ранее сми,2022-05-02,Economical,neutral
украина новости война,бывший топменеджер газовый компания новатэк семья найти мёртвый испания сообщаться протосеня владеть состояние млн проживать франция испания семья прибыть пасхальный,2022-04-21,Economical,positive
украина новости война,венгрия не хотеть применять санкция россия изз холод ввести санкция импорт энергоресурсы остановить работа газопровод венгрия стать не холодный температура,2022-04-02,Economical,negative
новости,европейский клиент газпром получить компания разъяснение порядок оплата российский газ утверждение блумберг ознакомиться письмо текст следовать движение перечислять средство прозрачный,2022-05-07,Economical,positive
новости,один крупный мир страховой компания allianz сообщение вероятный уход российский рынок заявить не заключать новый сделка продолжать выполнять обязательство текущий,2022-05-13,Economical,positive
новости,порт мариуполь задействовать полный объём санкция осложнять восстановление техника заявить пушилин интервью новость,2022-05-27,Economical,negative
новости,первый освобождение мариуполь судно груз металлопрокат выйти порт город передавать корреспондент новость,2022-05-31,Economical,positive
русском,антироссийский санкция ударить страна запад открыть россия новый возможность заявить путин отказ ряд страна нормальный сотрудничество число российский энергоресурсы ударить,2022-04-13,Economical,neutral
русском,европарламент потребовать ввести эмбарго импорт газ нефть уголь россия решение принять голос евродепутат проголосовать парламентарий резолюция европарламент напомнить не носить,2022-04-07,Economical,positive
